# Parameters from 
# Tan C, Yang L, Luo R.  How well does Poisson-Boltzmann implicit
# solvent agree with explicit solvent? A quantitative analysis.
# Journal of Physical Chemistry B.  110 (37), 18680-7, 2006.1
ACE     HH31      0.112300  0.0000  0.0000
ACE     CH3      -0.366200  2.2500  0.0000
ACE     HH32      0.112300  0.0000  0.0000
ACE     HH33      0.112300  0.0000  0.0000
ACE     C         0.597200  2.0000  0.0000
ACE     O        -0.567900  1.5700  0.0000
ALA     N        -0.415700  1.9500  0.0000
ALA     H         0.271900  0.0000  0.0000
ALA     CA        0.033700  2.2500  0.0000
ALA     HA        0.082300  0.0000  0.0000
ALA     CB       -0.182500  2.2500  0.0000
ALA     HB1       0.060300  0.0000  0.0000
ALA     HB2       0.060300  0.0000  0.0000
ALA     HB3       0.060300  0.0000  0.0000
ALA     C         0.597300  2.0000  0.0000
ALA     O        -0.567900  1.5700  0.0000
ARG     N        -0.347900  1.9500  0.0000
ARG     H         0.274700  0.0000  0.0000
ARG     CA       -0.263700  2.5000  0.0000
ARG     HA        0.156000  0.0000  0.0000
ARG     CB       -0.000700  2.5000  0.0000
ARG     HB2       0.032700  0.0000  0.0000
ARG     HB3       0.032700  0.0000  0.0000
ARG     CG        0.039000  2.5000  0.0000
ARG     HG2       0.028500  0.0000  0.0000
ARG     HG3       0.028500  0.0000  0.0000
ARG     CD        0.048600  2.5000  0.0000
ARG     HD2       0.068700  0.0000  0.0000
ARG     HD3       0.068700  0.0000  0.0000
ARG     NE       -0.529500  2.5000  0.0000
ARG     HE        0.345600  0.0000  0.0000
ARG     CZ        0.807600  1.8500  0.0000
ARG     NH1      -0.862700  2.5000  0.0000
ARG     HH11      0.447800  0.0000  0.0000
ARG     HH12      0.447800  0.0000  0.0000
ARG     NH2      -0.862700  2.5000  0.0000
ARG     HH21      0.447800  0.0000  0.0000
ARG     HH22      0.447800  0.0000  0.0000
ARG     C         0.734100  2.0000  0.0000
ARG     O        -0.589400  1.5700  0.0000
ASH     N        -0.415700  1.9500  0.0000
ASH     H         0.271900  0.0000  0.0000
ASH     CA        0.034100  2.2500  0.0000
ASH     HA        0.086400  0.0000  0.0000
ASH     CB       -0.031600  2.2500  0.0000
ASH     HB2       0.048800  0.0000  0.0000
ASH     HB3       0.048800  0.0000  0.0000
ASH     CG        0.646200  2.0000  0.0000
ASH     OD1      -0.555400  1.5700  0.0000
ASH     OD2      -0.637600  1.9250  0.0000
ASH     HD2       0.474700  0.0000  0.0000
ASH     C         0.597300  2.0000  0.0000
ASH     O        -0.567900  1.5700  0.0000
ASN     N        -0.415700  1.9500  0.0000
ASN     H         0.271900  0.0000  0.0000
ASN     CA        0.014300  2.2500  0.0000
ASN     HA        0.104800  0.0000  0.0000
ASN     CB       -0.204100  2.2500  0.0000
ASN     HB2       0.079700  0.0000  0.0000
ASN     HB3       0.079700  0.0000  0.0000
ASN     CG        0.713000  2.0000  0.0000
ASN     OD1      -0.593100  1.5700  0.0000
ASN     ND2      -0.919100  2.1000  0.0000
ASN     HD21      0.419600  0.0000  0.0000
ASN     HD22      0.419600  0.0000  0.0000
ASN     C         0.597300  2.0000  0.0000
ASN     O        -0.567900  1.5700  0.0000
ASP     N        -0.516300  1.9500  0.0000
ASP     H         0.293600  0.0000  0.0000
ASP     CA        0.038100  2.1000  0.0000
ASP     HA        0.088000  0.0000  0.0000
ASP     CB       -0.030300  2.1000  0.0000
ASP     HB2      -0.012200  0.0000  0.0000
ASP     HB3      -0.012200  0.0000  0.0000
ASP     CG        0.799400  1.6500  0.0000
ASP     OD1      -0.801400  1.2500  0.0000
ASP     OD2      -0.801400  1.2500  0.0000
ASP     C         0.536600  1.6500  0.0000
ASP     O        -0.581900  1.5700  0.0000
CYM     N        -0.415700  1.9500  0.0000
CYM     HN        0.271900  0.0000  0.0000
CYM     CA       -0.035100  2.1000  0.0000
CYM     HA        0.050800  0.0000  0.0000
CYM     CB       -0.241300  2.1000  0.0000
CYM     HB3       0.112200  0.0000  0.0000
CYM     HB2       0.112200  0.0000  0.0000
CYM     SG       -0.884400  1.4500  0.0000
CYM     C         0.597300  2.0000  0.0000
CYM     O        -0.567900  1.5700  0.0000
CYS     N        -0.415700  1.9500  0.0000
CYS     H         0.271900  0.0000  0.0000
CYS     CA        0.021300  2.2500  0.0000
CYS     HA        0.112400  0.0000  0.0000
CYS     CB       -0.123100  2.2500  0.0000
CYS     HB2       0.111200  0.0000  0.0000
CYS     HB3       0.111200  0.0000  0.0000
CYS     SG       -0.311900  2.3000  0.0000
CYS     HG        0.193300  0.0000  0.0000
CYS     C         0.597300  2.0000  0.0000
CYS     O        -0.567900  1.5700  0.0000
CYX     N        -0.415700  1.9500  0.0000
CYX     H         0.271900  0.0000  0.0000
CYX     CA        0.042900  2.2500  0.0000
CYX     HA        0.076600  0.0000  0.0000
CYX     CB       -0.079000  2.2500  0.0000
CYX     HB2       0.091000  0.0000  0.0000
CYX     HB3       0.091000  0.0000  0.0000
CYX     SG       -0.108100  2.0000  0.0000
CYX     C         0.597300  2.0000  0.0000
CYX     O        -0.567900  1.5700  0.0000
Cl-     Cl-      -1.000000  1.8150  0.0000
Cs+     Cs+       1.000000  2.7120  0.0000
DA      P         1.165900  1.9500  0.0000
DA      O1P      -0.776100  1.2500  0.0000
DA      O2P      -0.776100  1.2500  0.0000
DA      O5'      -0.495400  1.3000  0.0000
DA      C5'      -0.006900  2.2500  0.0000
DA      H5'1      0.075400  0.0000  0.0000
DA      H5'2      0.075400  0.0000  0.0000
DA      C4'       0.162900  2.2500  0.0000
DA      H4'       0.117600  0.0000  0.0000
DA      O4'      -0.369100  1.3000  0.0000
DA      C1'       0.043100  2.2500  0.0000
DA      H1'       0.183800  0.0000  0.0000
DA      N9       -0.026800  1.7500  0.0000
DA      C8        0.160700  2.1500  0.0000
DA      H8        0.187700  0.0000  0.0000
DA      N7       -0.617500  1.7500  0.0000
DA      C5        0.072500  1.7500  0.0000
DA      C6        0.689700  1.7500  0.0000
DA      N6       -0.912300  2.1000  0.0000
DA      H61       0.416700  0.0000  0.0000
DA      H62       0.416700  0.0000  0.0000
DA      N1       -0.762400  1.7500  0.0000
DA      C2        0.571600  2.1500  0.0000
DA      H2        0.059800  0.0000  0.0000
DA      N3       -0.741700  1.7500  0.0000
DA      C4        0.380000  1.7500  0.0000
DA      C3'       0.071300  2.2500  0.0000
DA      H3'       0.098500  0.0000  0.0000
DA      C2'      -0.085400  2.2500  0.0000
DA      H2'1      0.071800  0.0000  0.0000
DA      H2'2      0.071800  0.0000  0.0000
DA      O3'      -0.523200  1.3000  0.0000
DA3     P         1.165900  1.9500  0.0000
DA3     O1P      -0.776100  1.2500  0.0000
DA3     O2P      -0.776100  1.2500  0.0000
DA3     O5'      -0.495400  1.3000  0.0000
DA3     C5'      -0.006900  2.2500  0.0000
DA3     H5'1      0.075400  0.0000  0.0000
DA3     H5'2      0.075400  0.0000  0.0000
DA3     C4'       0.162900  2.2500  0.0000
DA3     H4'       0.117600  0.0000  0.0000
DA3     O4'      -0.369100  1.3000  0.0000
DA3     C1'       0.043100  2.2500  0.0000
DA3     H1'       0.183800  0.0000  0.0000
DA3     N9       -0.026800  1.7500  0.0000
DA3     C8        0.160700  2.1500  0.0000
DA3     H8        0.187700  0.0000  0.0000
DA3     N7       -0.617500  1.7500  0.0000
DA3     C5        0.072500  1.7500  0.0000
DA3     C6        0.689700  1.7500  0.0000
DA3     N6       -0.912300  2.1000  0.0000
DA3     H61       0.416700  0.0000  0.0000
DA3     H62       0.416700  0.0000  0.0000
DA3     N1       -0.762400  1.7500  0.0000
DA3     C2        0.571600  2.1500  0.0000
DA3     H2        0.059800  0.0000  0.0000
DA3     N3       -0.741700  1.7500  0.0000
DA3     C4        0.380000  1.7500  0.0000
DA3     C3'       0.071300  2.2500  0.0000
DA3     H3'       0.098500  0.0000  0.0000
DA3     C2'      -0.085400  2.2500  0.0000
